pathway_id,I,type,tissue
hsa00230,0.35877105237361223,kpca,Lung-mouse
hsa04070,0.35712853286532076,kpca,Lung-mouse
hsa00051,0.35311136998189524,kpca,Lung-mouse
hsa04148,0.32437398776980036,kpca,Lung-mouse
hsa00030,0.2628854979911488,kpca,Lung-mouse
hsa00053,0.2628854979911488,kpca,Lung-mouse
hsa04024,0.25344053182609816,kpca,Lung-mouse
hsa00052,0.24482890307669689,kpca,Lung-mouse
hsa00860,0.2064043361701053,kpca,Lung-mouse
hsa00330,0.16319484788917302,kpca,Lung-mouse
hsa00061,0.1469441873130784,kpca,Lung-mouse
hsa04216,0.13050214329448717,kpca,Lung-mouse
hsa04723,0.12378439408416415,kpca,Lung-mouse
hsa00591,0.1171479069250796,kpca,Lung-mouse
hsa00565,0.11446147189435033,kpca,Lung-mouse
hsa02010,0.0965116833349709,kpca,Lung-mouse
hsa00563,0.09165460151102417,kpca,Lung-mouse
hsa05231,0.08373917056878002,kpca,Lung-mouse
hsa04976,0.08107315832161871,kpca,Lung-mouse
hsa01040,0.0734638206692824,kpca,Lung-mouse
hsa00564,0.05684362980171729,kpca,Lung-mouse
hsa00270,0.04874900736414722,kpca,Lung-mouse
hsa00480,0.04874900736414722,kpca,Lung-mouse
hsa00500,0.7217550841735584,gsva,Lung-mouse
hsa04024,0.5265203329339952,gsva,Lung-mouse
hsa04150,0.517086563815244,gsva,Lung-mouse
hsa00052,0.5170028301440867,gsva,Lung-mouse
hsa02010,0.5137351178404947,gsva,Lung-mouse
hsa00051,0.5059595815656938,gsva,Lung-mouse
hsa00230,0.46707717386956155,gsva,Lung-mouse
hsa00240,0.3723475134240714,gsva,Lung-mouse
hsa00470,0.36393905791176656,gsva,Lung-mouse
hsa04070,0.36209328558954457,gsva,Lung-mouse
hsa01040,0.35085750289785245,gsva,Lung-mouse
hsa00220,0.3490018263002348,gsva,Lung-mouse
hsa05230,0.3490018263002348,gsva,Lung-mouse
hsa00970,0.3490018263002348,gsva,Lung-mouse
hsa05014,0.33974464085963024,gsva,Lung-mouse
hsa04964,0.33820047728339997,gsva,Lung-mouse
hsa00061,0.32306467791558535,gsva,Lung-mouse
hsa00330,0.3188466709445204,gsva,Lung-mouse
hsa04979,0.3087468593254682,gsva,Lung-mouse
hsa00630,0.3048866389592758,gsva,Lung-mouse
hsa00910,0.3048866389592758,gsva,Lung-mouse
hsa00250,0.3048866389592758,gsva,Lung-mouse
hsa04727,0.3048866389592758,gsva,Lung-mouse
hsa04724,0.3048866389592758,gsva,Lung-mouse
hsa00053,0.3018227808658136,gsva,Lung-mouse
hsa00030,0.3016014016485274,gsva,Lung-mouse
hsa00430,0.29983581526445263,gsva,Lung-mouse
hsa04148,0.2961730794249641,gsva,Lung-mouse
hsa04072,0.28913854605273415,gsva,Lung-mouse
hsa00920,0.28615356168655065,gsva,Lung-mouse
hsa00120,0.28454545080149335,gsva,Lung-mouse
hsa00564,0.25353710052853423,gsva,Lung-mouse
hsa04976,0.24977498773144194,gsva,Lung-mouse
hsa04723,0.23723483360907366,gsva,Lung-mouse
hsa05231,0.20650330922236215,gsva,Lung-mouse
hsa00860,0.20156314588151392,gsva,Lung-mouse
hsa04216,0.1834286920532682,gsva,Lung-mouse
hsa00591,0.16834814266304649,gsva,Lung-mouse
hsa00565,0.14426019174169946,gsva,Lung-mouse
hsa00480,0.11846914714369228,gsva,Lung-mouse
hsa00270,0.11708192177520721,gsva,Lung-mouse
hsa00563,0.09700748103071667,gsva,Lung-mouse
hsa02010,0.7260026578286046,kpca,Ovary-ca-mouse
hsa04024,0.7082842339143639,kpca,Ovary-ca-mouse
hsa04976,0.6437359967713946,kpca,Ovary-ca-mouse
